path,bytes,sha256
00-brand-strategy/brand_foundation.md,1387,d9975229796d6b247e2c825311f223dfccd9e6dd5faea198e200b7c01dfe1696
00-brand-strategy/platform_specs.md,1265,5cf68ec94115bc79ed50884141108ec2c1f9eb27be6aa32bbc2d9327dabd16b1
00-brand-strategy/brand-tokens.css,581,b125207248fa6c65198b85f89c9f25e9893315131920b0492ebce29681e621c0
00-brand-strategy/brand-tokens.json,781,b23b0d4e8ea4bedf111b55129c61e3cc11eb29f3df68dc98706bbc51d14ac25b
00-brand-strategy/typography.css,320,09c14a424a03987e3ac9387b59cf21ee1df12a05a7d80b551fcc91698cc83ad3
01-logo-master/sentra-logomark-approved-reference.png,146501,8fdff9096da0cdd7929c5266ce7ea78afc4384aae1a20ac3d38ebdf09d5c1e3c
01-logo-master/sentra-logomark-construction-grid.svg,13046,9bbecebbf30ac969ed026b847799f76d6b60a6680eee38e96f75e7a91947d8c9
01-logo-master/sentra-logomark-currentcolor.svg,11802,ae97e5770ebd1b5515f76538eb63d6b5a7dd50a3534cd1cdbeda93bc2afa331d
01-logo-master/sentra-logomark-master-black-1024.png,21757,e7b71c7683461f78875096c3d73d266e34afbf78abcc118db88f23a4943dfeac
01-logo-master/sentra-logomark-master-black-2048.png,56376,d820095f0b0dc5e87f1106a0cca70a7358bd7b927aef705c564144e535f9cfb1
01-logo-master/sentra-logomark-master-black-256.png,4193,6e98d28ce7e68310e9602e83ee6915d25b22edb1d8971b9c115a8bfcef9e4e5b
01-logo-master/sentra-logomark-master-black-512.png,9811,5ee7f1098563a61843027c32d4fd2038c346167f3853b52e7db36bba842a8c7a
01-logo-master/sentra-logomark-master-black.svg,11790,fc11352f84cfc5a8bf35b3f929063ca619f1c3474d653e34f9d6f9571beab15c
01-logo-master/sentra-logomark-master-white-1024.png,28606,85509c748689ee0c8204121052aaaf5c9f6686432d1012b39285a30ae69f9bb2
01-logo-master/sentra-logomark-master-white-2048.png,61801,65c8c7fce847e29a6b1c6e09c8ac6fa811d383cd1d99e4cd87adede2f07f59af
01-logo-master/sentra-logomark-master-white-256.png,4601,47496be8f689e48b60c0b7f7ee46d169990d47d62dcce47c6ad44071537ecddb
01-logo-master/sentra-logomark-master-white-512.png,13172,f5e4559439e495e7ee19b67c5604114f5ab5831e03da8ec30e931d71fe04e8e7
01-logo-master/sentra-logomark-master-white.svg,11790,534a29830558a290137c8e019d9dae1b83de0baa65938b2cc923b3be9aed94d3
02-logo-variations/readme.md,454,92ff67293d2684a52d0fce27d47a071333994cbea5989dab6b46a6de2ba1aa56
02-logo-variations/sentra-logo-horizontal-full-black.svg,12046,aad6d0fc78ec0bbaa00c438df0b18e86acd6d18447e7f28643e6b88218c4c5a5
02-logo-variations/sentra-logo-horizontal-full-white.svg,12046,18377ad75276dbc05ad8d9624604b24ab89d912016cd0b997d915c8f9dab8257
02-logo-variations/sentra-logo-horizontal-short-black.svg,12025,c8110062ebca51da1b28f6dac10359ae331c4acf78b5d45aa8ce763d7a62b081
02-logo-variations/sentra-logo-horizontal-short-white.svg,12025,50af07d57a3ce62df3c74e53745d5d1f083a7cf384bd811e6849d7a6a355b191
02-logo-variations/sentra-logo-stacked-black.svg,12209,1e5886795f8b83701d46ae1b5a29be4e0261c5125528d20575aa557e0e165769
02-logo-variations/sentra-logo-stacked-white.svg,12209,28edad5c19974f043f51ecfab32a66811c6f1213610da783e57f720590c5d12a
02-logo-variations/sentra-wordmark-full-black.svg,256,c6b708dce5926ed487854f67c86f9629be7b82fa49979a134d9ad460c3479244
02-logo-variations/sentra-wordmark-full-white.svg,256,9195d088ac0955fbad92d30e379e9caf04268fc213ee1d47701c91f9f7c48def
02-logo-variations/sentra-wordmark-short-black.svg,235,263491d2416e8522e948533c1bac3ff2fcb86eb18711b37d250bbb414e52215c
02-logo-variations/sentra-wordmark-short-white.svg,235,30d0cf7aecda5081d369428d0382fc2a56d1a09d62ef2778789c490c1c9fe708
03-website/sentra-og-image-default-1200x630.png,17179,d195a90bca1c6fba5ec9a312f88d70d9f7881be07e9d6d30756c678530481653
03-website/sentra-web-brand-placeholder-1600x900.png,24667,fab2233080405af16b0b09b5210efd07e7bcdead424a4a66d32afba11a791abf
03-website/sentra-web-footer-white.svg,12046,18377ad75276dbc05ad8d9624604b24ab89d912016cd0b997d915c8f9dab8257
03-website/sentra-web-navbar-black.svg,12046,aad6d0fc78ec0bbaa00c438df0b18e86acd6d18447e7f28643e6b88218c4c5a5
03-website/sentra-web-navbar-compact.svg,11802,ae97e5770ebd1b5515f76538eb63d6b5a7dd50a3534cd1cdbeda93bc2afa331d
03-website/sentra-web-navbar-white.svg,12046,18377ad75276dbc05ad8d9624604b24ab89d912016cd0b997d915c8f9dab8257
04-favicon-browser/sentra-apple-touch-icon-180.png,4997,fdc3f67504158f017669ab7f2c26ee02c50c1072d6930a073016baf97c9f32d8
